Property/Deal name,City/State,Type,Origination/Acquisition date,Amount ($mm),Seniority,Rate / Index,Term / Extensions,Leverage,Key Covenants (known snippets),Broker / Arranger,Servicer / Special Servicer,Outcome status,Outcome date,Counterparty in title transfer,Litigation / Receivership notes,Sources
Kent House (187 Kent Ave),"Brooklyn, NY",Mixed-use (MF + retail),Sep–Oct 2021 (NPL + mezz acquired),,Senior (NPL purchase) + Mezz (pledge of equity),,,,Mezz secured by pledge of membership interests; Article 9 sale noticed,,,Attempted UCC sale; injunction; ultimately recap/refi (no title transfer observed),"UCC noticed for Nov 4, 2021; litigation 2021–2022; refi reported 2023 (press)",,187 Kent LLC v. Invictus 187 Mezz LLC; UCC sale marketing materials filed in court,The Real Deal 2021-10-08; NYC Property Information Portal doc #2021091301496001; Trellis case filings; PincusCo property page
Harrison Yards (Phase I),"Harrison, NJ",Multifamily + retail (construction completion),"Dec 2020 ($60mm), upsized Dec 2021 ($70mm)",60 → 70,Senior construction loan,,,,Municipal minutes preserve PILOT post-foreclosure/DIL/UCC; redevelopment rights acknowledged,JLL (reported),,Default alleged by HRA; UCC Article 9 sale noticed 2025; borrower lawsuit to enjoin,"2024–2025 (default minutes Sept–Oct 2024; complaint June 27, 2025)",,Mills at Harrison LLC et al v. Harrison Invictus Mezzanine Funder LLC (NY Sup. Ct.),Invictus portfolio page; HRA minutes 11/8/2021 & 9/23/2024 & 10/4/2024; Trellis 2025 complaint; RCM1 data room teaser
Harrison Yards (Phase II),"Harrison, NJ",Entitled mixed-use site (pre-construction bridge),Dec 2021,30,Pre-construction bridge,,,,,,,Linked to Phase I situation; unresolved,,,,Invictus portfolio page
1730 Bedford Avenue (Lidl-anchored),"Brooklyn, NY",Mixed-use (grocery + MF + office + community),July 2023,62.25,Senior + leverage partner + mezz (syndicated),Floating (2-yr),2-year initial,,Covered ~100% hard costs per article,Eastern Union (broker),,Active / under construction,,,,Commercial Observer 2023-07-10
Sixth & Rio (94-unit condo),"Fort Lauderdale, FL",Condominium construction,Nov 2024,96 (Invictus participated; SRT $60mm),Senior construction (club),,,,,JLL,,Under construction,,,,Commercial Observer 2024-11-04
Flow House (466-unit condo),"Miami, FL",Condominium construction + inventory,Mar 2024,155 (w/ Integritas Capital),Construction + inventory facility,,,,Cole Schotz described as construction & inventory facility,,,Active / under construction,,,,Cole Schotz firm press; The Real Deal 2024-03-26
959 Sterling Place,"Brooklyn, NY",Multifamily (pre-TCO bridge),Jun 2024,30,Bridge (likely senior),,,,,,,Active,,,,The Real Deal 2024-06-10
Solaia (condo inventory),"North Bergen, NJ",Condominium inventory loan,Dec 2021 (reported),63.2 (recap per article),Inventory / junior mortgage + mezz (per reporting),,,,,JBA Equities; Agile Capital Markets,,Active / selling units,,,,ROI-NJ 2021-12-19
Royal Palm Beach (4 entitled sites),"Royal Palm Beach, FL",Land loan on multiple development sites,2023 (reported),,Land loan,,,,,,,Partial takeout by new $126mm construction + $11mm SFR bridge (borrower refinanced portion),Update posted 2024,,,Invictus ‘News’ page (update on partial refi)
The Station Apartments (NPL),"West New York, NJ",Non-performing loan on 97-unit MF + retail,2022–2023 (reported),,NPL (senior position unspecified),,,,,,,Construction completed; TCO issued; retail 100% leased; lease-up underway,Update posted 2023,,,Invictus ‘News’ page
